YEAR	SECTION	MATCH	FIRST_PLAYER	SECOND_PLAYER	WIN_PLAYER
2024年前期	第1節	第1試合	ひんた	dotto	dotto
2024年前期	第1節	第2試合	るるる	ドラ焼き	ドラ焼き
2024年前期	第1節	第3試合	フェアリー	りっきー	りっきー
2024年前期	第1節	第4試合	dotto	ミノミー	dotto
2024年前期	第1節	第5試合	ドラ焼き	はるる	はるる
2024年前期	第1節	第6試合	りっきー	のすけ	りっきー
2024年前期	第1節	第7試合	ミノミー	ひんた	ミノミー
2024年前期	第1節	第8試合	るるる	はるる	はるる
2024年前期	第1節	第9試合	のすけ	フェアリー	のすけ
2024年前期	第2節	第1試合	カイザ	はるる	はるる
2024年前期	第2節	第2試合	のすけ	りっきー	のすけ
2024年前期	第2節	第3試合	ZweiLance	セキボン	セキボン
2024年前期	第2節	第4試合	フェアリー	はるる	はるる
2024年前期	第2節	第5試合	のすけ	にわか	のすけ
2024年前期	第2節	第6試合	ZweiLance	るるる	るるる
2024年前期	第2節	第7試合	カイザ	フェアリー	カイザ
2024年前期	第2節	第8試合	にわか	りっきー	にわか
2024年前期	第2節	第9試合	るるる	セキボン	セキボン
2024年前期	第3節	第1試合	ZweiLance	SON	ZweiLance
2024年前期	第3節	第2試合	おんそく	るるる	おんそく
2024年前期	第3節	第3試合	にわか	ミノミー	ミノミー
2024年前期	第3節	第4試合	カイザ	SON	SON
2024年前期	第3節	第5試合	dotto	るるる	dotto
2024年前期	第3節	第6試合	ドラ焼き	にわか	ドラ焼き
2024年前期	第3節	第7試合	ZweiLance	カイザ	ZweiLance
2024年前期	第3節	第8試合	おんそく	dotto	おんそく
2024年前期	第3節	第9試合	ミノミー	ドラ焼き	ミノミー
2024年前期	第4節	第1試合	のすけ	りっきー	のすけ
2024年前期	第4節	第2試合	セキボン	おんそく	おんそく
2024年前期	第4節	第3試合	dotto	はるる	dotto
2024年前期	第4節	第4試合	ひんた	りっきー	ひんた
2024年前期	第4節	第5試合	SON	セキボン	セキボン
2024年前期	第4節	第6試合	るるる	dotto	るるる
2024年前期	第4節	第7試合	のすけ	ひんた	のすけ
2024年前期	第4節	第8試合	おんそく	SON	SON
2024年前期	第4節	第9試合	るるる	はるる	るるる
2024年前期	第5節	第1試合	るるる	ドラ焼き	るるる
2024年前期	第5節	第2試合	りっきー	フェアリー	フェアリー
2024年前期	第5節	第3試合	にわか	セキボン	にわか
2024年前期	第5節	第4試合	るるる	はるる	るるる
2024年前期	第5節	第5試合	のすけ	フェアリー	フェアリー
2024年前期	第5節	第6試合	にわか	おんそく	おんそく
2024年前期	第5節	第7試合	はるる	ドラ焼き	はるる
2024年前期	第5節	第8試合	りっきー	のすけ	りっきー
2024年前期	第5節	第9試合	おんそく	セキボン	セキボン
2024年前期	第6節	第1試合	フェアリー	ミノミー	フェアリー
2024年前期	第6節	第2試合	SON	おんそく	SON
2024年前期	第6節	第3試合	ZweiLance	るるる	るるる
2024年前期	第6節	第4試合	ミノミー	セキボン	セキボン
2024年前期	第6節	第5試合	カイザ	おんそく	おんそく
2024年前期	第6節	第6試合	ZweiLance	ドラ焼き	ドラ焼き
2024年前期	第6節	第7試合	セキボン	フェアリー	セキボン
2024年前期	第6節	第8試合	SON	カイザ	SON
2024年前期	第6節	第9試合	るるる	ドラ焼き	ドラ焼き
2024年後期	第1節	第1試合	あーくん	りっきー	りっきー
2024年後期	第1節	第2試合	ドラ焼き	はるる	ドラ焼き
2024年後期	第1節	第3試合	るるる	dotto	るるる
2024年後期	第1節	第4試合	にわか	りっきー	にわか
2024年後期	第1節	第5試合	リキセキタクジン	ドラ焼き	ドラ焼き
2024年後期	第1節	第6試合	dotto	マイケル	dotto
2024年後期	第1節	第7試合	あーくん	にわか	あーくん
2024年後期	第1節	第8試合	はるる	リキセキタクジン	はるる
2024年後期	第1節	第9試合	るるる	マイケル	るるる
2024年後期	第2節	第1試合	りっきー	ZweiLance	りっきー
2024年後期	第2節	第2試合	にわか	セキボン	にわか
2024年後期	第2節	第3試合	おんそく	カイザ	カイザ
2024年後期	第2節	第4試合	ZweiLance	るるる	ZweiLance
2024年後期	第2節	第5試合	にわか	フェアリー	フェアリー
2024年後期	第2節	第6試合	あーくん	おんそく	あーくん
2024年後期	第2節	第7試合	りっきー	るるる	りっきー
2024年後期	第2節	第8試合	フェアリー	セキボン	フェアリー
2024年後期	第2節	第9試合	カイザ	あーくん	カイザ
